Game Date,Opponent,Barrels,Barrel %,Max EV,Avg EV,Launch Angle,XBA,XSLG,XWOBA,WOBA,Hard Hit %
2024-09-29,Rockies,2,8.3,110.8,82.8,24.5,.180,.272,.225,.211,33.3
2024-09-28,Rockies,6,17.6,111.3,84.6,5.7,.345,.608,.466,.516,58.8
2024-09-27,Rockies,4,12.1,111.8,84.5,10.2,.342,.630,.420,.453,54.5
2024-09-26,Padres,3,10.7,107.8,86.1,13.8,.265,.499,.337,.384,32.1
2024-09-25,Padres,1,4.0,116.8,83.1,23.6,.280,.438,.372,.342,44.0
2024-09-24,Padres,2,7.4,110.4,80.1,17.4,.357,.532,.417,.319,37.0
2024-09-22,Rockies,2,7.4,114.7,85.9,22.3,.293,.563,.412,.487,40.7
2024-09-21,Rockies,2,8.3,102.4,81.2,14.5,.243,.345,.349,.324,41.7
2024-09-20,Rockies,4,12.9,114.1,85.1,13.6,.277,.664,.393,.368,29.0
2024-09-19,Marlins,4,11.4,114.6,80.3,23.6,.367,.709,.500,.511,45.7
2024-09-18,Marlins,4,14.3,110.1,82.5,28.3,.290,.538,.360,.357,32.1
2024-09-17,Marlins,1,3.3,106.0,80.5,18.1,.239,.374,.289,.391,30.0
2024-09-16,Braves,0,0.0,104.5,82.5,19.8,.215,.292,.312,.272,31.8
2024-09-15,Braves,5,17.9,114.4,88.1,20.7,.229,.516,.348,.423,53.6
2024-09-14,Braves,2,8.0,109.1,80.5,17.7,.231,.351,.291,.267,40.0
2024-09-13,Braves,2,9.1,111.6,83.4,17.1,.163,.310,.217,.207,27.3
2024-09-11,Cubs,4,12.9,118.1,83.3,21.3,.256,.491,.369,.498,41.9
2024-09-10,Cubs,4,13.8,110.0,88.6,16.7,.293,.582,.380,.331,55.2
2024-09-09,Cubs,1,3.4,103.1,82.5,22.5,.292,.409,.342,.328,62.1
2024-09-08,Guardians,3,13.0,116.7,82.7,21.0,.262,.536,.366,.383,39.1
2024-09-07,Guardians,1,4.3,104.4,84.2,17.7,.194,.358,.278,.348,34.8
2024-09-06,Guardians,2,8.3,111.2,84.8,18.3,.209,.377,.264,.240,41.7
2024-09-04,Angels,0,0.0,103.3,81.5,20.4,.158,.196,.230,.250,31.8
2024-09-03,Angels,2,10.0,112.7,83.0,17.8,.194,.339,.262,.237,40.0
2024-09-02,D-backs,4,10.8,117.2,81.0,13.7,.330,.617,.427,.472,48.6
2024-09-01,D-backs,2,9.1,105.4,83.4,24.7,.227,.361,.275,.255,40.9
